"Id";"Company";"TypeName";"Inches";"resolution_width";"resolution_height";"touchscreen";"ips_panel";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"memory_type";"primary_storage";"secondary_storage";"gpu_brand";"OpSys";"Weight";"Price";"ppi";"screen_size"
17;"Apple";"Ultrabook";15.4;2880;1800;0;1;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"macOS";1.83;152274;221;"medium"
18;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Nvidia";"No OS";2.2;26587;141;"medium"
19;"Dell";"Ultrabook";13.3;1920;1080;1;1;"Intel";"Core i5";1.6;8;"SSD";128;0;"Intel";"windows";1.22;52161;166;"small"
21;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;53227;141;"medium"
22;"HP";"Notebook";15.6;1366;768;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"No OS";1.86;13746;100;"medium"
23;"Dell";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.62;43636;166;"small"
24;"HP";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.91;35112;141;"medium"
25;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.3;22305;100;"medium"
26;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";128;0;"Intel";"macOS";1.35;58555;128;"small"
27;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";2.2;42624;141;"medium"
28;"Dell";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.9;8;"SSD";256;256;"Intel";"windows";1.88;69157;141;"medium"
29;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Nvidia";"windows";2.5;47739;127;"large"
30;"Chuwi";"Notebook";15.6;1920;1080;0;0;"Intel";"Atom x5-Z8300";1.44;4;"Flash Storage";64;0;"Intel";"windows";1.89;13053;141;"medium"
31;"Asus";"Notebook";14.0;1366;768;0;0;"AMD";"E-Series E2-6110";1.5;2;"Flash Storage";32;0;"AMD";"windows";1.65;10603;112;"medium"
32;"HP";"Notebook";17.3;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"HDD";500;0;"AMD";"windows";2.71;23390;127;"large"
33;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.2;99580;276;"small"
34;"Apple";"Ultrabook";13.3;1440;900;0;0;"Intel";"Core i5";1.6;8;"Flash Storage";256;0;"Intel";"macOS";1.35;53173;128;"small"
35;"Lenovo";"Notebook";14.0;1366;768;0;0;"Intel";"Celeron Dual";1.1;4;"Flash Storage";64;0;"Intel";"windows";1.44;13267;112;"medium"
36;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"linux";2.1;19554;100;"medium"
37;"Dell";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"AMD";"windows";2.8;52161;127;"large"
38;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.86;26037;100;"medium"
39;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.1;46833;141;"medium"
40;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"linux";2.0;20726;141;"medium"
41;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.65;79867;141;"medium"
42;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Nvidia";"linux";2.3;27865;100;"medium"
43;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"windows";2.2;36337;141;"medium"
44;"Dell";"2 in 1 Convertible";17.3;1920;1080;1;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";"windows";2.77;53227;127;"large"
45;"Apple";"Ultrabook";13.3;2560;1600;0;1;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";"macOS";1.37;75604;227;"small"
47;"Asus";"Gaming";17.3;1920;1080;0;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";"windows";3.2;69211;127;"large"
48;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"AMD";"windows";2.3;34046;141;"medium"
49;"Asus";"Notebook";17.3;1366;768;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Nvidia";"windows";2.8;24828;91;"large"
51;"Acer";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";2.2;44808;141;"medium"
52;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"windows";1.86;21232;141;"medium"
53;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.49;58768;166;"small"
54;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"windows";2.4;20460;100;"medium"
55;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.13;40908;141;"medium"
56;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"windows";1.91;23390;141;"medium"
57;"Asus";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"windows";2.0;31232;100;"medium"
58;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";2.43;130483;127;"large"
59;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"Intel";"linux";2.0;22111;141;"medium"
60;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.8;69211;127;"large"
61;"Dell";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.7;46833;157;"medium"
62;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i3";2.7;8;"SSD";256;0;"Intel";"No OS";1.7;31915;157;"medium"
63;"Asus";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.4;50136;157;"medium"
64;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.86;36763;141;"medium"
65;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";1.8;105654;141;"medium"
66;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"AMD";"windows";1.86;23373;100;"medium"
67;"HP";"Notebook";14.0;1366;768;0;0;"Intel";"Celeron Dual";1.6;4;"SSD";32;0;"Intel";"windows";1.44;12201;112;"medium"
68;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Intel";"windows";1.9;29251;141;"medium"
69;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"linux";3.0;50563;127;"large"
70;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"windows";1.252;58022;201;"small"
71;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";1.8;64;"SSD";256;0;"AMD";"windows";1.4;50882;166;"small"
72;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"AMD";"windows";2.2;46354;141;"medium"
73;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";2.7;58342;127;"large"
74;"Acer";"Notebook";14.0;1366;768;0;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"windows";2.1;20726;112;"medium"
75;"Asus";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"windows";2.2;50563;141;"medium"
76;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"HDD";2048;0;"Intel";"No OS";2.2;27652;141;"medium"
77;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"Hybrid";128;1024;"Intel";"windows";2.02;45554;141;"medium"
78;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";2.2;28238;141;"medium"
79;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"Hybrid";128;1024;"Nvidia";"windows";2.5;52055;127;"large"
80;"Dell";"Ultrabook";15.6;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.88;58403;141;"medium"
81;"Apple";"Ultrabook";12.0;2304;1440;0;1;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"macOS";0.92;80453;226;"small"
82;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.63;45821;157;"medium"
83;"Lenovo";"Notebook";15.6;1920;1080;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";128;0;"AMD";"windows";2.2;21259;141;"medium"
84;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.1;21046;100;"medium"
85;"Dell";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.65;71875;141;"medium"
86;"HP";"Ultrabook";15.6;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.83;37243;141;"medium"
87;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.96;31914;141;"medium"
88;"Asus";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"windows";2.2;77203;141;"medium"
89;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.21;87859;166;"small"
90;"Asus";"Gaming";15.6;1920;1080;0;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";"windows";2.45;37243;141;"medium"
91;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";"windows";2.2;36710;141;"medium"
92;"HP";"Notebook";13.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Intel";"windows";1.49;63776;166;"small"
93;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"windows";2.65;63670;141;"medium"
94;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.25;55891;157;"medium"
95;"Acer";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.5;45128;166;"small"
96;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"AMD";"linux";2.2;31963;141;"medium"
97;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"SSD";256;0;"AMD";"linux";2.2;25841;141;"medium"
98;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.4;6;"SSD";256;0;"Nvidia";"windows";2.0;30743;141;"medium"
99;"HP";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;12;"Hybrid";128;1024;"Nvidia";"windows";2.62;66547;141;"medium"
100;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"AMD";"windows";1.91;38308;141;"medium"
101;"HP";"Notebook";15.6;1920;1080;0;0;"AMD";"E-Series E2-9000e";1.5;4;"HDD";500;0;"AMD";"windows";2.1;18595;141;"medium"
102;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"AMD";"linux";2.2;34472;141;"medium"
103;"HP";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";1.38;59620;166;"small"
104;"Microsoft";"Ultrabook";13.5;2256;1504;1;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.252;71395;201;"small"
105;"HP";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i5";2.5;6;"SSD";256;0;"Nvidia";"windows";1.58;35112;157;"medium"
106;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";1.85;22106;141;"medium"
107;"Asus";"Ultrabook";14.0;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"windows";1.3;63563;157;"medium"
108;"MSI";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.2;69211;141;"medium"
109;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i7";2.7;8;"SSD";256;0;"Intel";"windows";1.58;78854;157;"medium"
110;"Asus";"Ultrabook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;1024;"Nvidia";"windows";1.5;67239;141;"medium"
111;"Dell";"Ultrabook";13.3;3200;1800;1;0;"Intel";"Core i7";2.4;8;"SSD";256;0;"Intel";"windows";1.23;73473;276;"small"
112;"Lenovo";"2 in 1 Convertible";13.3;1920;1080;1;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.37;74539;166;"small"
113;"HP";"Notebook";14.0;1366;768;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.63;38468;112;"medium"
114;"Dell";"Ultrabook";13.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.21;86793;166;"small"
116;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";512;0;"Intel";"windows";1.63;57756;157;"medium"
117;"Dell";"Notebook";15.6;1920;1080;0;1;"Intel";"Core i7";1.8;8;"Hybrid";256;1024;"Nvidia";"windows";2.16;60224;141;"medium"
118;"Asus";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";"windows";2.0;30050;127;"large"
119;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"windows";1.7;59567;141;"medium"
120;"Acer";"Notebook";15.6;1920;1080;1;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"windows";2.1;25521;141;"medium"
121;"MSI";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;2048;"Nvidia";"windows";1.8;119427;141;"medium"
122;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Nvidia";"No OS";2.2;33513;141;"medium"
123;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"SSD";512;0;"Nvidia";"windows";2.5;67719;127;"large"
124;"Acer";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";"windows";2.1;24029;100;"medium"
126;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i5";1.6;8;"HDD";1024;0;"Intel";"windows";1.63;43263;157;"medium"
127;"Asus";"Notebook";14.0;1366;768;0;0;"AMD";"E-Series 6110";1.5;4;"SSD";64;0;"AMD";"windows";1.65;14811;112;"medium"
128;"Dell";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"windows";2.8;74379;127;"large"
129;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";2.5;49444;127;"large"
130;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;8;"HDD";1024;0;"AMD";"windows";2.36;34045;100;"medium"
131;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"AMD";"windows";2.2;23923;141;"medium"
132;"Acer";"Ultrabook";14.0;1920;1080;0;1;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.6;47100;157;"medium"
133;"Acer";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"windows";7.2;30476;141;"medium"
134;"HP";"Notebook";15.6;1366;768;0;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Intel";"windows";2.05;31861;100;"medium"
135;"HP";"Notebook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.63;52641;157;"medium"
136;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"No OS";1.9;13446;100;"medium"
137;"Asus";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"windows";3.0;49977;127;"large"
138;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";"No OS";2.2;26587;141;"medium"
139;"HP";"Notebook";13.3;1920;1080;0;1;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"windows";1.32;37243;166;"small"
140;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"windows";3.0;34898;127;"large"
141;"Lenovo";"Notebook";14.0;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";1.75;59462;157;"medium"
142;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"No OS";2.4;46300;141;"medium"
143;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.3;4;"HDD";500;0;"Intel";"windows";2.1;32075;100;"medium"
144;"HP";"Notebook";15.6;1366;768;0;0;"AMD";"A6-Series 9220";2.5;4;"SSD";256;0;"AMD";"windows";1.86;19660;100;"medium"
145;"Asus";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.25;58555;157;"medium"
146;"HP";"Ultrabook";12.5;3840;2160;1;1;"Intel";"Core M";1.2;8;"SSD";512;0;"Intel";"windows";0.97;107306;352;"small"
147;"Asus";"Notebook";15.6;1920;1080;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.0;18328;141;"medium"
149;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"windows";2.1;23816;100;"medium"
150;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;16;"SSD";512;0;"Nvidia";"windows";2.56;66561;141;"medium"
151;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"Hybrid";1024;0;"Nvidia";"windows";2.62;47899;141;"medium"
152;"Lenovo";"Notebook";15.6;1366;768;0;0;"Intel";"Core i5";2.5;4;"SSD";128;0;"Intel";"windows";1.9;26533;100;"medium"
153;"MSI";"Gaming";17.3;1920;1080;0;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.8;100699;127;"large"
154;"HP";"Ultrabook";14.0;1920;1080;0;0;"Intel";"Core i5";2.7;4;"SSD";256;0;"Intel";"windows";1.48;57649;157;"medium"
155;"HP";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;6;"SSD";256;0;"AMD";"windows";1.91;32980;141;"medium"
156;"Lenovo";"2 in 1 Convertible";14.0;1920;1080;1;1;"Intel";"Core i3";2.4;4;"SSD";256;0;"Intel";"windows";1.74;33513;157;"medium"
157;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.1;70063;166;"small"
158;"Dell";"2 in 1 Convertible";15.6;1920;1080;1;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"windows";1.56;55891;141;"medium"
159;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.2;4;"HDD";500;0;"Intel";"windows";2.1;23816;100;"medium"
160;"Asus";"Notebook";15.6;1366;768;0;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"windows";2.03;21472;100;"medium"
161;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";"windows";3.0;42890;127;"large"
162;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"AMD";"windows";2.13;38788;141;"medium"
163;"Lenovo";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"SSD";256;0;"Nvidia";"windows";2.5;57489;141;"medium"
164;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;18541;100;"medium"
165;"MSI";"Gaming";15.6;1920;1080;0;1;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"windows";2.4;95851;141;"medium"
166;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"windows";2.1;19368;100;"medium"
167;"Dell";"Gaming";15.6;1920;1080;0;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"windows";2.56;56503;141;"medium"
168;"Acer";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";3.0;45501;127;"large"
169;"HP";"Notebook";13.3;1920;1080;0;1;"Intel";"Core i5";1.6;4;"HDD";500;0;"Intel";"windows";1.49;40173;166;"small"
170;"Huawei";"Ultrabook";13.0;2160;1440;0;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"windows";1.05;71875;200;"small"
171;"HP";"Notebook";17.3;1920;1080;0;1;"Intel";"Core i5";2.5;6;"HDD";2048;0;"AMD";"windows";2.71;37243;127;"large"
172;"Lenovo";"Notebook";15.6;1366;768;0;0;"AMD";"A6-Series 9220";2.9;4;"HDD";500;0;"AMD";"No OS";2.2;16464;100;"medium"
173;"Toshiba";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;4;"HDD";500;0;"Intel";"windows";5.4;26054;100;"medium"
174;"HP";"Notebook";17.3;1920;1080;0;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"windows";2.5;49177;127;"large"
175;"Dell";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.4;8;"HDD";1024;0;"Intel";"windows";2.3;24456;100;"medium"
176;"Acer";"Notebook";15.6;1366;768;0;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"windows";2.1;23923;100;"medium"
177;"MSI";"Gaming";18.4;1920;1080;0;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";"windows";4.4;149131;120;"large"
178;"Lenovo";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"AMD";"windows";1.9;43317;141;"medium"
179;"HP";"2 in 1 Convertible";13.3;3840;2160;1;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"windows";1.29;79867;331;"small"
180;"Dell";"Notebook";15.6;1920;1080;0;0;"Intel";"Core i7";1.8;16;"Hybrid";256;2048;"AMD";"linux";2.02;55891;141;"medium"
